[Fri Aug 09 10:30:06.731075 2019] [php7:error] [pid 10393] [client 46.151.186.242:36422] PHP Fatal error:  Cannot use [] for reading in /var/www/elixirSYC.pl/releases/25/src/Controller/PaymentController.php on line 104, referer: http://elixirSYC.pl/report/unit/list
[Fri Aug 09 10:30:14.313646 2019] [php7:error] [pid 9682] [client 46.151.186.242:36420] PHP Fatal error:  Cannot use [] for reading in /var/www/elixirSYC.pl/releases/25/src/Controller/PaymentController.php on line 104, referer: http://elixirSYC.pl/report/unit/list
[Fri Aug 09 12:28:32.851774 2019] [php7:warn] [pid 12885] [client 46.151.186.242:38966] PHP Warning:  fopen(baza.txt): failed to open stream: Permission denied in /var/www/elixirSYC.pl/releases/26/public/test.php on line 8
[Fri Aug 09 12:28:32.852288 2019] [php7:warn] [pid 12885] [client 46.151.186.242:38966] PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 11
[Fri Aug 09 12:28:32.852309 2019] [php7:warn] [pid 12885] [client 46.151.186.242:38966] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 14
[Fri Aug 09 12:28:32.852320 2019] [php7:warn] [pid 12885] [client 46.151.186.242:38966] PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 17
[Fri Aug 09 12:28:32.852329 2019] [php7:warn] [pid 12885] [client 46.151.186.242:38966] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 20
[Fri Aug 09 12:28:53.820695 2019] [php7:warn] [pid 13196] [client 46.151.186.242:38970] PHP Warning:  fopen(plik.txt): failed to open stream: Permission denied in /var/www/elixirSYC.pl/releases/26/public/test.php on line 8
[Fri Aug 09 12:28:53.820746 2019] [php7:warn] [pid 13196] [client 46.151.186.242:38970] PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 11
[Fri Aug 09 12:28:53.820753 2019] [php7:warn] [pid 13196] [client 46.151.186.242:38970] PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 14
[Fri Aug 09 12:28:53.820756 2019] [php7:warn] [pid 13196] [client 46.151.186.242:38970] PHP Warning:  flock() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 17
[Fri Aug 09 12:28:53.820760 2019] [php7:warn] [pid 13196] [client 46.151.186.242:38970] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in /var/www/elixirSYC.pl/releases/26/public/test.php on line 20
